iso,name,lon,lat,size_pop,pop_basis,source
USA,New York,-73.99572,40.72156,20892000,urban_agglomeration,Demographia 2025
MEX,Mexico City,-99.13293,19.44439,18942000,urban_agglomeration,Demographia 2025
USA,Los Angeles,-118.23199,34.04922,15582000,urban_agglomeration,Demographia 2025
USA,Chicago,-87.63524,41.84796,8790000,urban_agglomeration,Demographia 2025
USA,"Washington,  D.C.",-77.01136,38.9015,7636000,urban_agglomeration,Demographia 2025
USA,Dallas,-96.79469,32.77196,6980000,urban_agglomeration,Demographia 2025
USA,Houston,-95.34844,29.74127,6804000,urban_agglomeration,Demographia 2025
CAN,Toronto,-79.38946,43.66464,6400000,urban_agglomeration,Demographia 2025
USA,Miami,-80.22605,25.78956,6129000,urban_agglomeration,Demographia 2025
USA,Philadelphia,-75.17984,39.94594,5697000,urban_agglomeration,Demographia 2025
USA,Atlanta,-84.36764,33.73946,5495000,urban_agglomeration,Demographia 2025
USA,Phoenix,-112.06737,33.44832,4600000,urban_agglomeration,Demographia 2025
MEX,Monterrey,-100.33193,25.67194,4580000,urban_agglomeration,Demographia 2025
MEX,Guadalajara,-103.33198,20.67196,4528000,urban_agglomeration,Demographia 2025
USA,Boston,-71.07196,42.33191,4344000,urban_agglomeration,Demographia 2025
USA,Detroit,-83.05133,42.33356,4143000,urban_agglomeration,Demographia 2025
CAN,Montréal,-73.58524,45.50195,4029000,urban_agglomeration,Demographia 2025
USA,Seattle,-122.31532,47.60042,3952000,urban_agglomeration,Demographia 2025
USA,San Francisco,-122.3996,37.78426,3304000,urban_agglomeration,Demographia 2025
USA,Orlando,-81.38198,28.51192,3204000,urban_agglomeration,Demographia 2025
USA,Tampa,-82.46057,27.94893,3180000,urban_agglomeration,Demographia 2025
USA,San Diego,-117.15088,32.71891,3053000,urban_agglomeration,Demographia 2025
USA,Minneapolis,-93.25373,44.98193,2904000,urban_agglomeration,Demographia 2025
USA,Denver,-104.98596,39.74113,2892000,urban_agglomeration,Demographia 2025
CAN,Vancouver,-123.12359,49.27536,2833000,urban_agglomeration,Demographia 2025
USA,Cleveland,-81.69694,41.47193,2642000,urban_agglomeration,Demographia 2025
USA,Salt Lake City,-111.932,40.77696,2455000,urban_agglomeration,Demographia 2025
USA,Las Vegas,-115.15136,36.16476,2280000,urban_agglomeration,Demographia 2025
USA,Charlotte,-80.83198,35.20694,2214000,urban_agglomeration,Demographia 2025
USA,St. Louis,-90.24193,38.63696,2193000,urban_agglomeration,Demographia 2025
MEX,Puebla,-98.20374,19.03259,2162000,urban_agglomeration,Demographia 2025
USA,San Antonio,-98.49269,29.41985,2101000,urban_agglomeration,Demographia 2025
USA,Portland,-122.68194,45.52197,2076000,urban_agglomeration,Demographia 2025
USA,Sacramento,-121.47198,38.57697,1970000,urban_agglomeration,Demographia 2025
USA,Austin,-97.74472,30.2689,1957000,urban_agglomeration,Demographia 2025
USA,San Jose,-121.88818,37.33094,1848000,urban_agglomeration,UN/MacroTrends 2025 est.
MEX,Iztapalapa,-99.06224,19.35529,1835486,city_limits,Mexico 2020 census (GeoNames)
USA,Kansas City,-94.60604,39.10903,1788000,urban_agglomeration,Demographia 2025
USA,Indianapolis,-86.17199,39.75193,1757000,urban_agglomeration,Demographia 2025
MEX,Tijuana,-117.08194,32.50196,1752000,urban_agglomeration,Demographia 2025
MEX,Toluca,-99.65318,19.28931,1749000,urban_agglomeration,Demographia 2025
USA,Cincinnati,-84.45887,39.16383,1712000,urban_agglomeration,Demographia 2025
USA,Pittsburgh,-80.00193,40.43194,1700000,urban_agglomeration,Demographia 2025
MEX,Ecatepec de Morelos,-99.06064,19.60492,1645352,city_limits,Mexico 2020 census (GeoNames)
MEX,León,-101.70198,21.15193,1598000,urban_agglomeration,Demographia 2025
CAN,Calgary,-114.08194,51.08494,1593000,urban_agglomeration,Demographia 2025
USA,Raleigh,-78.64703,35.7727,1585000,urban_agglomeration,Demographia 2025
USA,Columbus,-82.99196,39.98192,1583000,urban_agglomeration,Demographia 2025
MEX,Zapopan,-103.38742,20.72111,1476491,city_limits,Mexico 2020 census (GeoNames)
USA,Virginia Beach,-75.98026,36.85516,1424000,urban_agglomeration,Demographia 2025
MEX,Torreón,-103.42195,25.572,1384000,urban_agglomeration,Demographia 2025
CAN,Edmonton,-113.50193,53.55197,1333000,urban_agglomeration,Demographia 2025
USA,Jacksonville,-81.67193,30.33197,1325000,urban_agglomeration,Demographia 2025
USA,Milwaukee,-87.91667,43.02961,1284000,urban_agglomeration,Demographia 2025
MEX,Ciudad Juárez,-106.49199,31.69232,1260000,urban_agglomeration,Demographia 2025
USA,Nashville,-86.78193,36.17192,1195000,urban_agglomeration,Demographia 2025
CAN,Ottawa,-75.70196,45.41864,1187000,urban_agglomeration,Demographia 2025
MEX,Gustavo Adolfo Madero,-99.11075,19.49392,1185772,city_limits,Mexico 2020 census (GeoNames)
USA,Richmond,-77.45193,37.55197,1090000,urban_agglomeration,Demographia 2025
MEX,Ciudad Nezahualcoyotl,-99.01483,19.40061,1077208,city_limits,Mexico 2020 census (GeoNames)
MEX,Querétaro,-100.38667,20.5777,1067000,urban_agglomeration,Demographia 2025
USA,Memphis,-90.02878,35.1447,1024000,urban_agglomeration,Demographia 2025
MEX,San Luis Potosí,-101.00194,22.17192,1019000,urban_agglomeration,Demographia 2025
MEX,Mérida,-89.61858,20.96858,1011000,urban_agglomeration,Demographia 2025
USA,Fort Worth,-97.34004,32.73998,1008106,city_limits,US Census 2024
USA,Oklahoma City,-97.52063,35.47199,1007000,urban_agglomeration,Demographia 2025
USA,Hartford,-72.68191,41.77197,966000,urban_agglomeration,Demographia 2025
USA,Louisville,-85.75065,38.22696,961000,urban_agglomeration,Demographia 2025
USA,Buffalo,-78.88195,42.88192,950000,urban_agglomeration,Demographia 2025
MEX,Aguascalientes,-102.29236,21.88141,943000,urban_agglomeration,Demographia 2025
MEX,Cuernavaca,-99.24,18.9211,920000,urban_agglomeration,Demographia 2025
USA,New Orleans,-90.08837,29.96891,920000,urban_agglomeration,Demographia 2025
MEX,Chihuahua,-106.08693,28.64693,895000,urban_agglomeration,Demographia 2025
USA,Tucson,-110.89193,32.20694,882000,urban_agglomeration,Demographia 2025
USA,El Paso,-106.51194,31.78193,866000,urban_agglomeration,Demographia 2025
CAN,Winnipeg,-97.16599,49.88299,858000,urban_agglomeration,Demographia 2025
MEX,Saltillo,-101.00693,25.4219,855000,urban_agglomeration,Demographia 2025
USA,Sarasota,-82.53079,27.33612,852000,urban_agglomeration,Demographia 2025
MEX,Naucalpan de Juarez,-99.23963,19.47851,834434,city_limits,Mexico 2020 census (GeoNames)
